,Order Status,,,,
,05/27/2022 07:03:10 PM ET,,,,
,,,,,
Date,Symbol,Price,Time,Quantity,Orders
5/27/2022,AVDL,1.47,07:42:23,100,1
5/27/2022,AVDL,1.54,07:43:43,-100,2
5/27/2022,AVDL,1.44,07:49:52,100,3
5/27/2022,AVDL,1.44,07:53:17,100,4
5/27/2022,AVDL,1.42,08:05:04,-100,5
5/27/2022,AVDL,1.44,08:11:53,-100,6
5/27/2022,AVDL,1.48,08:12:40,100,7
5/27/2022,AVDL,1.47,08:14:42,50,8
5/27/2022,AVDL,1.49,08:15:37,-100,9
5/27/2022,AVDL,1.51,08:16:05,-50,10
5/27/2022,AVDL,1.51,08:16:27,100,11
5/27/2022,AVDL,1.5,08:17:50,-100,12
5/27/2022,AVDL,1.51,08:18:21,100,13
5/27/2022,AMC,12.47,08:26:47,30,14
5/27/2022,AMC,12.41,08:32:42,20,15
5/27/2022,SIGA,10.82,08:36:23,100,16
5/27/2022,SIGA,10.89,08:40:55,-50,17
5/27/2022,SIGA,10.92,08:41:27,-50,18
5/27/2022,AMC,12.5,08:44:08,-30,19
5/27/2022,AVDL,1.52,08:44:17,-100,20
5/27/2022,AMC,12.72,08:51:06,30,21
5/27/2022,AMC,12.62,08:53:53,20,22
5/27/2022,AVDL,1.66,09:08:38,100,23
5/27/2022,AVDL,1.7,09:11:26,-50,24
5/27/2022,AVDL,1.71,09:12:29,-50,25
5/27/2022,AMC,12.68,09:13:33,-50,26
5/27/2022,MSFT,269.22,09:35:49,3,27
5/27/2022,AMD,101.83,09:36:09,3,28
5/27/2022,TSLA,736,09:36:22,1,29
5/27/2022,NVDA,184.85,09:36:33,3,30
5/27/2022,NCLH,15.87,09:37:21,5,31
5/27/2022,NCLH,15.8,09:38:08,5,32
5/27/2022,CCL,13.64,09:38:38,50,33
5/27/2022,FB,192.16,09:42:05,3,34
5/27/2022,FB,191.33,09:42:59,2,35
5/27/2022,AMD,99.99,09:45:34,2,36
5/27/2022,NVDA,182.44,09:46:29,2,37
5/27/2022,AMC,12.55,09:47:32,-20,38
5/27/2022,SHOP,359.66,09:48:57,1,39
5/27/2022,TSLA,740.04,09:50:46,1,40
5/27/2022,BABA,91.78,09:51:40,3,41
5/27/2022,RDBX,8.33,09:54:40,50,42
5/27/2022,RDBX,8.28,10:01:10,-50,43
5/27/2022,AMC,12.84,10:02:31,10,44
5/27/2022,AMC,12.965,10:03:11,-10,45
5/27/2022,AMC,13.28,10:04:51,10,46
5/27/2022,AMC,13.15,10:05:32,-10,47
5/27/2022,MSFT,271.38,10:10:03,3,48
5/27/2022,MRNA,142.89,10:14:13,3,49
5/27/2022,AMC,13.235,10:14:31,5,50
5/27/2022,AMC,13.33,10:16:12,5,51
5/27/2022,MRVL,58.7518,10:18:14,1,52
5/27/2022,CCL,13.48,10:20:43,-50,53
5/27/2022,NVDA,186.26,10:21:57,2,54
5/27/2022,BABA,92.52,10:27:35,1,55
5/27/2022,AMC,12.95,10:28:12,10,56
5/27/2022,NVDA,185,10:30:54,1,57
5/27/2022,SHOP,364.55,10:32:13,1,58
5/27/2022,TSLA,749.09,10:32:37,1,59
5/27/2022,MRNA,144.47,10:34:34,1,60
5/27/2022,MRNA,143.9,10:36:33,1,61
5/27/2022,SQ,89.29,10:41:45,1,62
5/27/2022,MRNA,143.2,10:46:59,1,63
5/27/2022,AVDL,2.35,10:52:20,100,64
5/27/2022,AVDL,2.32,10:55:40,20,65
5/27/2022,AVDL,2.3,10:56:07,30,66
5/27/2022,IMTE,8.78,11:12:53,50,67
5/27/2022,IMTE,8.77,11:13:19,50,68
5/27/2022,IMTE,8.45,11:13:59,-100,69
5/27/2022,AVDL,2.4113,11:16:33,-50,70
5/27/2022,IMTE,8.78,11:20:50,30,71
5/27/2022,AVDL,2.51,11:21:11,-100,72
5/27/2022,AVDL,2.57,11:22:37,100,73
5/27/2022,SIGA,11.84,11:26:32,50,74
5/27/2022,IMTE,9.05,11:28:32,-30,75
5/27/2022,SIGA,12.05,11:33:05,-50,76
5/27/2022,SIGA,12.38,11:45:20,20,77
5/27/2022,SIGA,12.55,11:46:18,10,78
5/27/2022,FTCH,9.645,11:58:59,10,79
5/27/2022,FTCH,9.665,11:59:43,20,80
5/27/2022,AVDL,2.44,12:01:16,20,81
5/27/2022,BB,6.605,12:03:47,40,82
5/27/2022,BB,6.57,12:04:43,10,83
5/27/2022,AVDL,2.485,12:12:34,-70,84
5/27/2022,AVDL,2.34,12:24:35,-50,85
5/27/2022,CNCE,6.72,12:25:09,30,86
5/27/2022,CNCE,6.74,12:26:02,30,87
5/27/2022,AVDL,2.385,12:33:03,50,88
5/27/2022,SIGA,12.8,12:45:03,-30,89
5/27/2022,SIGA,12.9,12:46:45,30,90
5/27/2022,SIGA,13.45,12:47:49,-30,91
5/27/2022,MRNA,145.85,12:50:53,-3,92
5/27/2022,NCLH,16.08,12:51:14,-10,93
5/27/2022,SIGA,13.85,12:52:46,20,94
5/27/2022,FTCH,9.725,12:56:30,-30,95
5/27/2022,MRNA,146.37,12:57:28,-3,96
5/27/2022,MRVL,59.74,12:57:58,-1,97
5/27/2022,AMC,13.34,12:58:46,-20,98
5/27/2022,TSLA,750.76,12:59:29,-1,99
5/27/2022,SHOP,365.27,12:59:44,-1,100
5/27/2022,SQ,89.54,13:01:41,-1,101
5/27/2022,CNCE,6.38,13:05:01,-60,102
5/27/2022,FB,193.92,13:05:40,-5,103
5/27/2022,AMD,100.97,13:06:38,-5,104
5/27/2022,SIGA,14.42,13:08:25,-20,105
5/27/2022,SHOP,364.45,13:09:04,-1,106
5/27/2022,NVDA,185.79,13:09:35,-5,107
5/27/2022,TSLA,751.68,13:10:17,-1,108
5/27/2022,BABA,93.12,13:10:40,-4,109
5/27/2022,MSFT,271.64,13:11:18,-6,110
5/27/2022,NVDA,185.78,13:11:48,-3,111
5/27/2022,TSLA,752.84,13:12:26,-1,112
5/27/2022,BB,6.73,13:12:55,-50,113
5/27/2022,AVDL,2.4,13:20:54,-50,114
