Brokerage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date,,,Time,,Date
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-1,13.14,,0.01,,13.13,5/17/2022,,,11:31:20,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,1,14.27,,,,-14.27,5/17/2022,,,10:54:59,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-5,14.2,,0.02,,70.98,5/17/2022,,,10:44:43,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,5,14.97,,,,-74.85,5/17/2022,,,10:42:02,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-2,14.65,,0.01,,29.29,5/17/2022,,,10:40:48,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,1,13.15,,,,-13.15,5/17/2022,,,10:25:41,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,1,13.21,,,,-13.21,5/17/2022,,,10:25:32,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,13.12,,0.01,,131.19,5/17/2022,,,10:21:42,,5/22/2022
 05/13/2022, YOU SOLD CAMBER ENERGY INC COM (CEI) (Cash), CEI, CAMBER ENERGY INC COM,Cash,-200,0.68,,0.03,,136.03,5/17/2022,,,10:11:57,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,13.4,,,,-134,5/17/2022,,,10:10:56,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-10,12.92,,0.01,,129.2,5/17/2022,,,10:10:09,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,12.37,,,,-123.7,5/17/2022,,,10:09:45,,5/22/2022
 05/13/2022, YOU SOLD VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,-20,12.25,,0.01,,245.01,5/17/2022,,,10:08:17,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,5,12.5,,,,-62.5,5/17/2022,,,10:07:39,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,5,12.18,,,,-60.9,5/17/2022,,,10:07:15,,5/22/2022
 05/13/2022, YOU BOUGHT VERU INC COM (VERU) (Cash), VERU, VERU INC COM,Cash,10,12.14,,,,-121.4,5/17/2022,,,10:05:48,,5/22/2022
 05/13/2022, YOU BOUGHT CAMBER ENERGY INC COM (CEI) (Cash), CEI, CAMBER ENERGY INC COM,Cash,100,0.7,,,,-70.24,5/17/2022,,,10:04:29,,5/22/2022
 05/13/2022, YOU SOLD AMC ENTERTAINMENT HOLDINGS INC (AMC) (Cash), AMC, AMC ENTERTAINMENT HOLDINGS INC,Cash,-10,12.2,,0.01,,121.94,5/17/2022,,,10:03:45,,5/22/2022
 05/13/2022, YOU SOLD ROBINHOOD MKTS INC COM CL A (HOOD) (Cash), HOOD, ROBINHOOD MKTS INC COM CL A,Cash,-20,10.35,,0.01,,206.99,5/17/2022,,,10:01:19,,5/22/2022
 05/13/2022, YOU BOUGHT AMC ENTERTAINMENT HOLDINGS INC (AMC) (Cash), AMC, AMC ENTERTAINMENT HOLDINGS INC,Cash,5,12.35,,,,-61.75,5/17/2022,,,09:59:14,,5/22/2022
 05/13/2022, YOU SOLD POLARITYTE INC COM (PTE) (Cash), PTE, POLARITYTE INC COM,Cash,-100,0.23,,0.01,,22.99,5/17/2022,,,09:55:47,,5/22/2022
 05/13/2022, YOU BOUGHT AMC ENTERTAINMENT HOLDINGS INC (AMC) (Cash), AMC, AMC ENTERTAINMENT HOLDINGS INC,Cash,1,12.22,,,,-12.22,5/17/2022,,,09:55:33,,5/22/2022
 05/13/2022, YOU BOUGHT ROBINHOOD MKTS INC COM CL A (HOOD) (Cash), HOOD, ROBINHOOD MKTS INC COM CL A,Cash,10,10.48,,,,-104.8,5/17/2022,,,09:52:15,,5/22/2022
 05/13/2022, YOU BOUGHT ROBINHOOD MKTS INC COM CL A (HOOD) (Cash), HOOD, ROBINHOOD MKTS INC COM CL A,Cash,10,10.46,,,,-104.6,5/17/2022,,,09:51:44,,5/22/2022
